Subject,Predicate,Object
https://authority.archives.go.kr/agent/OG0003138,https://www.ica.org/standards/RiC/ontology#agentIsTargetOfAgentHierarchicalRelation,https://authority.archives.go.kr/agentHierarchicalRelation/OG0003138-OG0003261-20050509-20061211
https://authority.archives.go.kr/record/OG0003138,http://www.w3.org/2000/01/rdf-schema#seeAlso,http://isni.org/isni/000000046404888X
https://authority.archives.go.kr/agentName/OG0003138-korean,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,https://www.ica.org/standards/RiC/ontology#AgentName
https://authority.archives.go.kr/instantiation/OG0003138,http://www.w3.org/2000/01/rdf-schema#seeAlso,https://description.archives.go.kr/national_archives_korea
https://authority.archives.go.kr/record/OG0003138,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,https://www.ica.org/standards/RiC/ontology#Record
https://authority.archives.go.kr/agentName/OG0003138-korean,http://www.w3.org/2000/01/rdf-schema#label,행정자치부 국가기록원
https://authority.archives.go.kr/agentName/OG0003138-chineseCharacter,https://www.ica.org/standards/RiC/ontology#isOrWasAgentNameOf,https://authority.archives.go.kr/agent/OG0003138
https://authority.archives.go.kr/agent/OG0003138,https://www.ica.org/standards/RiC/ontology#agentIsTargetOfAgentHierarchicalRelation,https://authority.archives.go.kr/agentHierarchicalRelation/OG0003138-OG0003312-20061212-20080228
https://authority.archives.go.kr/agent/OG0003138,https://www.ica.org/standards/RiC/ontology#agentIsTargetOfAgentHierarchicalRelation,https://authority.archives.go.kr/agentHierarchicalRelation/OG0022665-OG0003138-19980228-20080229
https://authority.archives.go.kr/agent/OG0003138,https://www.ica.org/standards/RiC/ontology#agentIsSourceOfAgentTemporalRelation,https://authority.archives.go.kr/agentTemporalRelation/OG0002956-OG0003138-19980228-20040524
https://authority.archives.go.kr/record/OG0003138,https://www.ica.org/standards/RiC/ontology#isOrWasAffectedBy,N4cecc5da2dd14d94941a333adcd89a40
https://authority.archives.go.kr/instantiation/OG0003138,https://www.ica.org/standards/RiC/ontology#identifier,KO_NAK_OG0003138
N0109853c3cd04956ac325cf20db2a372,https://www.ica.org/standards/RiC/ontology#date,2010-01-26
https://authority.archives.go.kr/agent/OG0003138,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,https://www.ica.org/standards/RiC/ontology#CorporateBody
https://authority.archives.go.kr/agent/OG0003138,https://www.ica.org/standards/RiC/ontology#endDate,2008-02-29
https://authority.archives.go.kr/agent/OG0003138,https://www.ica.org/standards/RiC/ontology#isOrWasDescribedBy,https://authority.archives.go.kr/record/OG0003138
https://authority.archives.go.kr/agent/OG0003138,http://www.w3.org/2000/01/rdf-schema#label,행정자치부 국가기록원
https://authority.archives.go.kr/agent/OG0003138,https://www.ica.org/standards/RiC/ontology#beginningDate,2004-05-24
https://authority.archives.go.kr/record/OG0003138,https://www.ica.org/standards/RiC/ontology#source,"국가기록원 홈페이지, www.archives.go.kr, 2010.01.26"
